[2025-06-23 20:02:03] duckduckgo_news | 东部机场 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=duckduckgo_news&q=%E4%B8%9C%E9%83%A8%E6%9C%BA%E5%9C%BA&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&kl=cn-zh&df=w&start=90
[2025-06-23 20:02:12] google_news | 中江集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=google_news&q=%E4%B8%AD%E6%B1%9F%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&gl=cn&hl=zh-CN
[2025-06-23 20:02:20] baidu_news | 中江集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=baidu_news&q=%E4%B8%AD%E6%B1%9F%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&rtt=4&pn=0
[2025-06-23 20:02:29] bing_news | 中江集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=bing_news&q=%E4%B8%AD%E6%B1%9F%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&mkt=zh-hk&qft=interval%3D%228%22
[2025-06-23 20:02:38] duckduckgo_news | 中江集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=duckduckgo_news&q=%E4%B8%AD%E6%B1%9F%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&kl=cn-zh&df=w
[2025-06-23 20:02:47] google_news | 江苏农垦 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=google_news&q=%E6%B1%9F%E8%8B%8F%E5%86%9C%E5%9E%A6&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&gl=cn&hl=zh-CN
[2025-06-23 20:02:55] baidu_news | 江苏农垦 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=baidu_news&q=%E6%B1%9F%E8%8B%8F%E5%86%9C%E5%9E%A6&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&rtt=4&pn=0
[2025-06-23 20:03:04] bing_news | 江苏农垦 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=bing_news&q=%E6%B1%9F%E8%8B%8F%E5%86%9C%E5%9E%A6&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&mkt=zh-hk&qft=interval%3D%228%22
[2025-06-23 20:03:13] duckduckgo_news | 江苏农垦 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=duckduckgo_news&q=%E6%B1%9F%E8%8B%8F%E5%86%9C%E5%9E%A6&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&kl=cn-zh&df=w
[2025-06-23 20:03:22] google_news | 徐矿集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=google_news&q=%E5%BE%90%E7%9F%BF%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&gl=cn&hl=zh-CN
[2025-06-23 20:03:31] baidu_news | 徐矿集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=baidu_news&q=%E5%BE%90%E7%9F%BF%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&rtt=4&pn=0
[2025-06-23 20:03:40] bing_news | 徐矿集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=bing_news&q=%E5%BE%90%E7%9F%BF%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&mkt=zh-hk&qft=interval%3D%228%22
[2025-06-23 20:03:49] duckduckgo_news | 徐矿集团 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=duckduckgo_news&q=%E5%BE%90%E7%9F%BF%E9%9B%86%E5%9B%A2&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&kl=cn-zh&df=w
[2025-06-23 20:03:57] google_news | 司库 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=google_news&q=%E5%8F%B8%E5%BA%93&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&gl=cn&hl=zh-CN
[2025-06-23 20:04:06] baidu_news | 司库 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=baidu_news&q=%E5%8F%B8%E5%BA%93&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&rtt=4&pn=0
[2025-06-23 20:04:15] bing_news | 司库 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=bing_news&q=%E5%8F%B8%E5%BA%93&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&mkt=zh-hk&qft=interval%3D%228%22
[2025-06-23 20:04:24] duckduckgo_news | 司库 | 429 Client Error: Too Many Requests for url: https://serpapi.com/search.json?engine=duckduckgo_news&q=%E5%8F%B8%E5%BA%93&api_key=58b64c1579e705e959c09826bc621bbf941345d4617bdae14a0734492c4aa435&kl=cn-zh&df=w
